Elements,New,Old
10,1.0261999999999999e-05,9.2299999999999997e-06
110,5.6025e-05,0.00031176400000000002
210,0.000224179,0.001943008
310,0.00044494700000000001,0.0041210359999999998
410,0.00055476500000000003,0.0057462590000000001
510,0.001017918,0.011380004000000001
610,0.0019680100000000001,0.020955285000000001
710,0.0020449470000000001,0.022186193
810,0.0029707520000000001,0.031078159000000001
910,0.0040321569999999998,0.043809396
1010,0.004438249,0.049156835000000003
1110,0.0062384600000000004,0.070932192000000005
1210,0.0084232690000000006,0.089506323999999998
1310,0.0095512749999999997,0.103783167
1410,0.010951204000000001,0.122376317
1510,0.0092542149999999997,0.099606016000000006
1610,0.011821264999999999,0.12973971200000001
1710,0.014671313,0.161593298
1810,0.016933456999999999,0.19022299000000001
1910,0.019985818999999998,0.223293831
2010,0.022820085,0.26017458599999999
2110,0.024685163,0.27725939199999999
2210,0.022514921,0.25453012200000003
2310,0.030740588999999999,0.35661477699999999
2410,0.029764589000000001,0.33515436300000001
